problem_link,problem_name,num_occur,difficulty
https://leetcode.com/problems/equal-sum-arrays-with-minimum-number-of-operations/,Equal Sum Arrays With Minimum Number of Operations,7,Medium                                                                        
https://leetcode.com/problems/detect-pattern-of-length-m-repeated-k-or-more-times/,Detect Pattern of Length M Repeated K or More Times,1,Easy
https://leetcode.com/problems/maximum-69-number/,Maximum 69 Number,1,Easy
https://leetcode.com/problems/convert-integer-to-the-sum-of-two-no-zero-integers/,Convert Integer to the Sum of Two No-Zero Integers,1,Easy
https://leetcode.com/problems/24-game/,24 Game,3,Hard 
https://leetcode.com/problems/find-peak-element/,Find Peak Element,3,Binary Search
