problem_link,problem_name,num_occur,difficulty
https://leetcode.com/problems/minimum-number-of-buckets-required-to-collect-rainwater-from-houses/,Minimum Number of Buckets Required to Collect Rainwater from Houses,1,Medium                                                                        
https://leetcode.com/problems/reorder-routes-to-make-all-paths-lead-to-the-city-zero/,Reorder Routes to Make All Paths Lead to the City Zero,2,Medium
https://leetcode.com/problems/bulb-switcher-iii/,Bulb Switcher III,4,Medium
https://leetcode.com/problems/number-of-steps-to-reduce-a-number-to-zero/,Number of Steps to Reduce a Number to Zero,2,Easy
https://leetcode.com/problems/brick-wall/,Brick Wall,2,Medium 
https://leetcode.com/problems/sort-colors/,Sort Colors,3,Medium                                                                        
https://leetcode.com/problems/first-missing-positive/,First Missing Positive,2,Hard                                                                          
