problem_link,problem_name,num_occur,difficulty
https://leetcode.com/problems/sort-array-by-increasing-frequency/,Sort Array by Increasing Frequency,2,Easy                                                                          
https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60/,Pairs of Songs With Total Durations Divisible by 60,3,Easy
https://leetcode.com/problems/daily-temperatures/,Daily Temperatures,3,Medium
https://leetcode.com/problems/generate-parentheses/,Generate Parentheses,3,Medium                                                                        
