problem_link,problem_name,num_occur,difficulty
https://leetcode.com/problems/optimal-account-balancing/,Optimal Account Balancing,2,Hard
https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed/,Insert Delete GetRandom O(1) - Duplicates allowed,3,Hard                                                                          
https://leetcode.com/problems/insert-delete-getrandom-o1/,Insert Delete GetRandom O(1),10,Medium
https://leetcode.com/problems/design-hit-counter/,Design Hit Counter,6,Medium
https://leetcode.com/problems/valid-anagram/,Valid Anagram,3,Easy
https://leetcode.com/problems/group-anagrams/,Group Anagrams,4,Medium                                                                        
