problem_link,problem_name,num_occur,difficulty
https://leetcode.com/problems/minimum-changes-to-make-alternating-binary-string/,Minimum Changes To Make Alternating Binary String,2,Easy                                                                          
https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game/,Find Winner on a Tic Tac Toe Game,2,Easy
https://leetcode.com/problems/largest-perimeter-triangle/,Largest Perimeter Triangle,3,Easy
https://leetcode.com/problems/spiral-matrix-iii/,Spiral Matrix III,2,Medium
https://leetcode.com/problems/basic-calculator-ii/,Basic Calculator II,2,Medium
https://leetcode.com/problems/jump-game-ii/,Jump Game II,2,Hard                                                                          
https://leetcode.com/problems/trapping-rain-water/,Trapping Rain Water,3,Hard                                                                          
https://leetcode.com/problems/generate-parentheses/,Generate Parentheses,2,Medium                                                                        
https://leetcode.com/problems/3sum/,3Sum,2,Medium
