problem_link,problem_name,num_occur,difficulty
https://leetcode.com/problems/seat-reservation-manager/,Seat Reservation Manager,1,Medium                                                                        
https://leetcode.com/problems/max-area-of-island/,Max Area of Island,2,Medium 
https://leetcode.com/problems/find-duplicate-file-in-system/,Find Duplicate File in System,6,Medium 
https://leetcode.com/problems/design-phone-directory/,Design Phone Directory,2,Medium
https://leetcode.com/problems/game-of-life/,Game of Life,5,Medium
https://leetcode.com/problems/number-of-islands/,Number of Islands,2,Medium
