problem_link,problem_name,num_occur,difficulty
https://leetcode.com/problems/check-if-all-characters-have-equal-number-of-occurrences/,Check if All Characters Have Equal Number of Occurrences,5,Easy                                                                          
https://leetcode.com/problems/subarray-sum-equals-k/,Subarray Sum Equals K,2,Medium                                                                        
https://leetcode.com/problems/reverse-words-in-a-string-iii/,Reverse Words in a String III,3,Easy 
https://leetcode.com/problems/word-pattern-ii/,Word Pattern II,2,Hard
https://leetcode.com/problems/word-pattern/,Word Pattern,3,Easy
