problem_link,problem_name,num_occur,difficulty
https://leetcode.com/problems/rank-teams-by-votes/,Rank Teams by Votes,2,Medium
https://leetcode.com/problems/available-captures-for-rook/,Available Captures for Rook,2,Easy
https://leetcode.com/problems/unique-morse-code-words/,Unique Morse Code Words,2,Easy
https://leetcode.com/problems/squirrel-simulation/,Squirrel Simulation,1,Medium 
https://leetcode.com/problems/the-maze/,The Maze,2,Medium
https://leetcode.com/problems/design-snake-game/,Design Snake Game,3,Medium
https://leetcode.com/problems/number-of-islands/,Number of Islands,2,Medium
https://leetcode.com/problems/text-justification/,Text Justification,3,Hard                                                                          
https://leetcode.com/problems/minimum-path-sum/,Minimum Path Sum,2,Medium                                                                        
