problem_link,problem_name,num_occur,difficulty
https://leetcode.com/problems/parallel-courses-iii/,Parallel Courses III,4,Hard                                                                          
https://leetcode.com/problems/accounts-merge/,Accounts Merge,2,Medium 
https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,Number of Connected Components in an Undirected Graph,2,Medium
https://leetcode.com/problems/word-pattern-ii/,Word Pattern II,2,Hard
https://leetcode.com/problems/find-the-celebrity/,Find the Celebrity,3,Medium
https://leetcode.com/problems/alien-dictionary/,Alien Dictionary,2,
https://leetcode.com/problems/clone-graph/,Clone Graph,2,Medium
